DataTime           	dB(A)	16	20	25	31.5	40	50	63	80	100	125	160	200	250	315	400	500	630	800	1000	1250	1600	2000	2500	3150	4000	5000	6300	8000	10000	12500	16000	20000
2025/01/22 20:41:24	84.1	-14.9	-4.5	4.6	4.5	-0.8	7.7	16.2	26.8	32.2	28.3	57.3	70.4	71.9	71.4	73.7	76.2	72.7	76.6	73.4	77.8	79.0	74.6	69.1	72.9	75.0	73.3	74.9	80.8	70.3	48.2	29.1	27.3
2025/01/22 20:41:25	91.7	-12.5	-10.3	-0.8	0.5	-2.7	4.8	12.7	27.3	34.8	46.8	56.4	62.2	67.9	76.5	74.6	73.7	81.5	79.4	74.7	82.1	86.1	77.8	76.2	70.7	71.6	73.2	74.7	81.3	71.0	49.4	32.2	32.3
2025/01/22 20:41:26	101.1	-4.9	-5.8	-0.4	-1.9	-0.5	5.5	13.5	18.9	30.9	47.0	53.7	60.2	67.4	70.8	71.6	72.1	83.1	79.2	66.6	77.2	77.0	77.2	74.8	76.8	78.4	79.4	81.7	91.4	81.7	66.9	47.4	42.2
2025/01/22 20:41:27	83.4	-6.5	-5.8	-3.4	-5.7	0.6	7.2	16.5	22.2	41.7	40.1	49.7	56.2	62.7	62.0	60.4	84.7	81.7	68.3	69.8	72.5	71.6	73.0	75.6	68.6	67.6	67.9	69.5	77.1	66.0	45.6	33.0	33.8
2025/01/22 20:41:28	79.8	-12.0	-9.2	-0.8	1.2	0.8	8.4	14.3	30.6	35.6	44.5	57.5	62.7	56.6	66.5	83.1	68.7	65.0	75.7	62.0	77.2	69.4	72.5	73.8	70.5	71.1	73.5	74.9	81.1	71.4	49.9	33.0	31.8
2025/01/22 20:41:29	92.3	-11.5	-7.1	-1.7	-1.9	-0.9	7.0	15.8	21.2	35.8	49.7	51.1	59.7	75.6	70.4	68.1	77.8	76.2	78.4	73.1	77.5	77.2	78.9	71.1	73.1	75.7	75.5	77.5	86.4	75.8	57.2	36.7	30.5
2025/01/22 20:41:30	84.5	-11.9	-12.1	-3.7	-2.5	-1.5	7.6	13.4	31.6	35.3	44.1	58.8	57.7	68.0	73.7	81.0	82.5	74.0	78.9	70.6	79.2	75.5	76.3	77.2	71.2	71.1	72.6	71.7	80.1	68.9	50.5	30.5	27.6
2025/01/22 20:41:31	88.7	-11.7	-7.8	-0.3	0.1	1.0	5.6	15.0	30.5	32.2	35.5	57.9	67.9	68.7	73.2	75.5	77.4	86.0	77.0	73.3	82.8	83.8	77.4	74.2	77.1	77.9	78.6	81.7	90.8	80.2	68.0	46.0	29.6
2025/01/22 20:41:32	88.9	-12.1	-6.8	-0.9	-1.6	0.4	8.8	16.1	26.3	47.7	47.5	46.4	67.0	68.6	71.0	66.6	83.5	82.1	72.8	69.1	80.7	76.5	73.6	70.9	74.6	73.0	75.3	77.3	87.5	76.0	60.8	43.4	29.7
2025/01/22 20:41:33	79.1	-6.2	-5.5	-1.5	-3.2	1.6	11.6	18.7	21.8	39.3	39.0	46.5	58.1	67.2	62.7	65.5	66.7	63.0	65.3	61.7	65.3	66.2	73.9	68.6	70.7	73.4	73.3	75.0	81.5	70.4	49.8	34.2	34.9
2025/01/22 20:41:34	91.3	0.1	0.6	3.4	-1.7	1.6	7.1	13.6	23.0	45.8	50.1	51.1	61.1	71.4	67.0	65.3	80.3	82.4	77.7	69.6	80.8	78.1	75.5	73.3	70.6	71.0	72.9	74.1	82.0	71.3	49.4	31.6	29.6
2025/01/22 20:41:35	100.4	-9.9	-6.8	-3.0	-5.3	-1.1	4.9	10.4	17.2	48.9	48.3	38.6	56.3	76.6	66.5	67.4	75.2	82.6	75.5	70.2	85.5	78.6	77.6	76.6	78.4	79.2	80.0	82.4	90.9	79.0	66.0	47.8	38.2
2025/01/22 20:41:36	85.0	-10.7	-4.8	2.1	2.0	1.2	3.8	13.1	28.3	39.3	43.0	50.4	61.9	70.2	66.8	63.0	72.5	83.0	71.2	63.5	81.3	76.7	67.6	68.7	75.4	69.0	70.9	71.0	79.0	70.4	47.3	30.0	27.1
